Fri Apr 27 14:58:41 2018    profile/dataProfile

         670065 function calls (667336 primitive calls) in 136.297 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    141/1    0.004    0.000  136.297  136.297 {built-in method builtins.exec}
        1    0.001    0.001  136.297  136.297 main.py:18(<module>)
        1    0.001    0.001  136.179  136.179 main.py:28(main)
        1    0.212    0.212  135.687  135.687 neuralNetwork.py:95(train)
      150    0.007    0.000  135.363    0.902 neuralNetwork.py:188(calculateNegGradient)
      600  135.141    0.225  135.226    0.225 neuralNetwork.py:154(derivativeCostToParam)
        1    0.000    0.000    0.228    0.228 neuralNetwork.py:23(__init__)
        1    0.000    0.000    0.227    0.227 neuralNetwork.py:59(initializeWeightsBiases)
        2    0.134    0.067    0.221    0.110 mnistHandwriting.py:16(MNISTexample)
   196354    0.218    0.000    0.218    0.000 {method 'read' of '_io.BufferedReader' objects}
     3000    0.185    0.000    0.185    0.000 {built-in method numpy.core.multiarray.zeros}
        4    0.000    0.000    0.178    0.044 npyio.py:266(load)
        5    0.000    0.000    0.156    0.031 __init__.py:1(<module>)
    166/6    0.001    0.000    0.122    0.020 <frozen importlib._bootstrap>:965(_find_and_load)
    166/6    0.001    0.000    0.122    0.020 <frozen importlib._bootstrap>:938(_find_and_load_unlocked)
    156/7    0.001    0.000    0.120    0.017 <frozen importlib._bootstrap>:659(_load_unlocked)
    132/6    0.000    0.000    0.119    0.020 <frozen importlib._bootstrap_external>:691(exec_module)
     1000    0.113    0.000    0.113    0.000 {method 'dot' of 'numpy.ndarray' objects}
    222/7    0.000    0.000    0.113    0.016 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
      150    0.006    0.000    0.111    0.001 neuralNetwork.py:264(generateAllLayers)
      150    0.003    0.000    0.103    0.001 neuralNetwork.py:79(initializeEmptyDParamArrays)
   320/11    0.001    0.000    0.103    0.009 {built-in method builtins.__import__}
   795/51    0.001    0.000    0.102    0.002 <frozen importlib._bootstrap>:995(_handle_fromlist)
        1    0.000    0.000    0.101    0.101 __init__.py:106(<module>)
        1    0.000    0.000    0.085    0.085 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.070    0.070 type_check.py:3(<module>)
        8    0.000    0.000    0.048    0.006 npyio.py:210(__getitem__)
        8    0.004    0.000    0.046    0.006 format.py:595(read_array)
      132    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:761(get_code)
        1    0.000    0.000    0.034    0.034 __init__.py:7(<module>)
        1    0.001    0.001    0.033    0.033 neuralNetwork.py:361(test)
       63    0.001    0.000    0.029    0.000 zipfile.py:821(read)
       55    0.000    0.000    0.029    0.001 format.py:797(_read_bytes)
       44    0.000    0.000    0.028    0.001 zipfile.py:901(_read1)
   196302    0.027    0.000    0.027    0.000 {built-in method _struct.unpack}
      100    0.002    0.000    0.027    0.000 neuralNetwork.py:235(generateOuputLayer)
      162    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap>:879(_find_spec)
        2    0.000    0.000    0.021    0.011 __init__.py:45(<module>)
  156/154    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
       76    0.000    0.000    0.020    0.000 zipfile.py:660(read)
      158    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1165(find_spec)
      158    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1133(_get_spec)
       44    0.000    0.000    0.019    0.000 zipfile.py:937(_read2)
      132    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:506(_compile_bytecode)
      330    0.004    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1247(find_spec)
      132    0.017    0.000    0.017    0.000 {built-in method marshal.loads}
      600    0.017    0.000    0.017    0.000 squishingFunc.py:35(DerSigmoid)
     1000    0.017    0.000    0.017    0.000 squishingFunc.py:14(Sigmoid)
      504    0.001    0.000    0.016    0.000 externalFunc.py:82(progressbar)
        1    0.000    0.000    0.016    0.016 _internal.py:6(<module>)
    19/18    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap_external>:935(create_module)
    19/18    0.013    0.001    0.015    0.001 {built-in method _imp.create_dynamic}
      504    0.005    0.000    0.015    0.000 externalFunc.py:89(_show)
      269    0.000    0.000    0.015    0.000 re.py:278(_compile)
      168    0.000    0.000    0.015    0.000 re.py:222(compile)
       18    0.000    0.000    0.014    0.001 sre_compile.py:531(compile)
