Sat Apr 28 13:10:35 2018    profile/dataProfile

         2480696 function calls (2477874 primitive calls) in 14.505 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    148/1    0.003    0.000   14.505   14.505 {built-in method builtins.exec}
        1    0.001    0.001   14.505   14.505 main.py:18(<module>)
        1    0.000    0.000   14.413   14.413 main.py:28(main)
        1    0.558    0.558   11.815   11.815 neuralNetwork.py:101(trainNEO)
      500    6.075    0.012   11.031    0.022 neuralNetwork.py:150(calculateNegGradientNEO)
     2000    2.754    0.001    2.778    0.001 numeric.py:1039(outer)
     4000    1.616    0.000    1.616    0.000 {method 'dot' of 'numpy.ndarray' objects}
        2    0.720    0.360    1.534    0.767 mnistHandwriting.py:16(MNISTexample)
      500    0.079    0.000    1.081    0.002 neuralNetwork.py:381(generateAllLayers)
        1    0.012    0.012    1.011    1.011 neuralNetwork.py:478(test)
     2000    0.984    0.000    0.984    0.000 {built-in method numpy.core.multiarray.dot}
      500    0.053    0.000    0.824    0.002 neuralNetwork.py:352(generateOuputLayer)
     2004    0.024    0.000    0.645    0.000 externalFunc.py:82(progressbar)
     2004    0.099    0.000    0.621    0.000 externalFunc.py:89(_show)
     2008    0.517    0.000    0.517    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   785104    0.177    0.000    0.177    0.000 {method 'read' of '_io.BufferedReader' objects}
     4000    0.154    0.000    0.154    0.000 squishingFunc.py:14(Sigmoid)
   785052    0.152    0.000    0.152    0.000 {built-in method _struct.unpack}
        6    0.000    0.000    0.119    0.020 __init__.py:1(<module>)
     6584    0.107    0.000    0.107    0.000 {built-in method numpy.core.multiarray.array}
    173/7    0.001    0.000    0.103    0.015 <frozen importlib._bootstrap>:966(_find_and_load)
    173/7    0.001    0.000    0.103    0.015 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
   802821    0.101    0.000    0.101    0.000 {method 'append' of 'list' objects}
     2000    0.101    0.000    0.101    0.000 squishingFunc.py:35(DerSigmoid)
    163/8    0.001    0.000    0.098    0.012 <frozen importlib._bootstrap>:659(_load_unlocked)
    138/7    0.000    0.000    0.097    0.014 <frozen importlib._bootstrap_external>:659(exec_module)
    231/8    0.001    0.000    0.092    0.011 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
   325/10    0.000    0.000    0.084    0.008 {built-in method builtins.__import__}
   816/50    0.001    0.000    0.084    0.002 <frozen importlib._bootstrap>:996(_handle_fromlist)
        1    0.000    0.000    0.082    0.082 __init__.py:106(<module>)
        1    0.000    0.000    0.067    0.067 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.053    0.053 neuralNetwork.py:23(__init__)
        1    0.001    0.001    0.053    0.053 neuralNetwork.py:59(initializeWeightsBiases)
        1    0.000    0.000    0.052    0.052 type_check.py:3(<module>)
        8    0.000    0.000    0.039    0.005 npyio.py:212(__getitem__)
        8    0.007    0.001    0.036    0.005 format.py:605(read_array)
      138    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:729(get_code)
        1    0.000    0.000    0.025    0.025 __init__.py:7(<module>)
      170    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap>:879(_find_spec)
  163/161    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
      159    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1133(find_spec)
      138    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
        2    0.000    0.000    0.016    0.008 __init__.py:45(<module>)
      159    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1101(_get_spec)
        8    0.000    0.000    0.016    0.002 format.py:473(_read_array_header)
      500    0.016    0.000    0.016    0.000 {built-in method builtins.sum}
      138    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
     4000    0.013    0.000    0.015    0.000 numeric.py:424(asarray)
      316    0.004    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
     1000    0.004    0.000    0.014    0.000 fromnumeric.py:943(argmax)
      273    0.004    0.000    0.014    0.000 re.py:278(_compile)
      168    0.000    0.000    0.013    0.000 re.py:222(compile)
        8    0.001    0.000    0.013    0.002 format.py:432(_filter_header)
       13    0.000    0.000    0.013    0.001 <frozen importlib._bootstrap_external>:903(create_module)
       13    0.010    0.001    0.013    0.001 {built-in method _imp.create_dynamic}
        4    0.000    0.000    0.013    0.003 npyio.py:268(load)
       55    0.001    0.000    0.013    0.000 format.py:807(_read_bytes)
       63    0.001    0.000    0.012    0.000 zipfile.py:821(read)
        4    0.000    0.000    0.012    0.003 npyio.py:169(__init__)
        4    0.000    0.000    0.012    0.003 npyio.py:91(zipfile_factory)
      172    0.001    0.000    0.012    0.000 tokenize.py:494(_tokenize)
       44    0.000    0.000    0.012    0.000 zipfile.py:901(_read1)
      500    0.010    0.000    0.012    0.000 externalFunc.py:60(DerCostFunction)
      500    0.011    0.000    0.011    0.000 externalFunc.py:42(CostFunction)
        1    0.000    0.000    0.010    0.010 _internal.py:6(<module>)
     1000    0.002    0.000    0.010    0.000 fromnumeric.py:50(_wrapfunc)
        1    0.000    0.000    0.009    0.009 decorators.py:5(<module>)
     4000    0.009    0.000    0.009    0.000 {method 'ravel' of 'numpy.ndarray' objects}
  373/371    0.005    0.000    0.009    0.000 {built-in method builtins.__build_class__}
       19    0.000    0.000    0.009    0.000 sre_compile.py:531(compile)
      148    0.000    0.000    0.009    0.000 tokenize.py:172(_compile)
        1    0.000    0.000    0.009    0.009 decorators.py:15(<module>)
        1    0.000    0.000    0.008    0.008 utils.py:4(<module>)
       44    0.000    0.000    0.008    0.000 zipfile.py:854(_update_crc)
       60    0.008    0.000    0.008    0.000 {built-in method zlib.crc32}
     1000    0.008    0.000    0.008    0.000 {method 'argmax' of 'numpy.ndarray' objects}
      138    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:816(get_data)
        1    0.000    0.000    0.006    0.006 case.py:1(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:10(<module>)
       19    0.000    0.000    0.005    0.000 sre_parse.py:819(parse)
      685    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
        1    0.000    0.000    0.005    0.005 py3k.py:4(<module>)
    60/19    0.000    0.000    0.004    0.000 sre_parse.py:429(_parse_sub)
     2008    0.004    0.000    0.004    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
   107/20    0.002    0.000    0.004    0.000 sre_parse.py:491(_parse)
